ID,sch_type,sch_id,sch_name,game_id,game_name,game_info,home,home_s,away_s,away,tnmt_name,date
"114""",2p4,1,小组赛,1,None,8:30 F1,Zen,7,9,Zoo,DISXC飞盘俱乐部精英赛,2023-03-18
"115""",2p4,1,小组赛,2,None,8:30 F2,迈克虎,9,11,肉夹馍,DISXC飞盘俱乐部精英赛,2023-03-18
"116""",2p4,1,小组赛,3,None,10:00 F1,沪蛙,11,10,大哥,DISXC飞盘俱乐部精英赛,2023-03-18
"117""",2p4,1,小组赛,4,None,10:00 F2,Storm,11,10,Ninty-Nine,DISXC飞盘俱乐部精英赛,2023-03-18
"118""",2p4,1,小组赛,5,None,11:30 F1,Zoo,4,13,迈克虎,DISXC飞盘俱乐部精英赛,2023-03-18
"119""",2p4,1,小组赛,6,None,11:30 F2,Zen,11,10,肉夹馍,DISXC飞盘俱乐部精英赛,2023-03-18
"120""",2p4,1,小组赛,7,None,13:00 F1,沪蛙,11,12,Storm,DISXC飞盘俱乐部精英赛,2023-03-18
"121""",2p4,1,小组赛,8,None,13:00 F2,大哥,9,10,Ninty-Nine,DISXC飞盘俱乐部精英赛,2023-03-18
"122""",2p4,1,小组赛,9,None,15:10 F1,Zoo,10,11,肉夹馍,DISXC飞盘俱乐部精英赛,2023-03-18
"123""",2p4,1,小组赛,10,None,15:10 F2,Zen,11,9,迈克虎,DISXC飞盘俱乐部精英赛,2023-03-18
"124""",2p4,1,小组赛,11,None,16:40 F1,沪蛙,13,6,Ninty-Nine,DISXC飞盘俱乐部精英赛,2023-03-18
"125""",2p4,1,小组赛,12,None,16:40 F2,大哥,6,13,Storm,DISXC飞盘俱乐部精英赛,2023-03-18
"142""",2p4,3,小组赛,1,None,8:00 F1,空中,8,13,DarkFlow,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"143""",2p4,3,小组赛,2,None,8:00 F2,视界,13,2,METSUP,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"144""",2p4,3,小组赛,3,None,9:20 F1,Hades,13,6,绿荔枝,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"145""",2p4,3,小组赛,4,None,9:20 F2,WeFly,6,12,火鸡,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"146""",2p4,3,小组赛,5,None,10:50 F1,空中,4,13,视界,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"147""",2p4,3,小组赛,6,None,10:50 F2,DarkFlow,13,1,METSUP,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"148""",2p4,3,小组赛,7,None,12:10 F1,Hades,11,9,WeFly,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"149""",2p4,3,小组赛,8,None,12:10 F2,绿荔枝,7,10,火鸡,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"150""",2p4,3,小组赛,9,None,13:30 F1,空中,12,4,METSUP,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"151""",2p4,3,小组赛,10,None,13:30 F2,DarkFlow,7,11,视界,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"152""",2p4,3,小组赛,11,None,14:50 F1,Hades,9,11,火鸡,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"153""",2p4,3,小组赛,12,None,14:50 F2,绿荔枝,10,8,WeFly,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"158""",b8,5,冠军淘汰赛,1,Q1,8:30 F1,视界,12,9,WeFly,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"159""",b8,5,冠军淘汰赛,2,Q4,10:00 F2,Hades,13,8,空中,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"160""",b8,5,冠军淘汰赛,3,Q2,8:30 F2,火鸡,13,5,METSUP,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"161""",b8,5,冠军淘汰赛,4,Q3,10:00 F1,DarkFlow,7,10,绿荔枝,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"162""",b8,5,冠军淘汰赛,5,S1,13:00 F1,视界,9,13,Hades,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"163""",b8,5,冠军淘汰赛,6,S2,13:00 F2,火鸡,8,9,绿荔枝,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"164""",b8,5,冠军淘汰赛,7,Final,16:10 F1,Hades,8,9,绿荔枝,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"165""",b4,6,B pool,1,S1,11:30 F1,WeFly,11,12,空中,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"166""",b4,6,B pool,2,S2,11:30 F2,METSUP,2,13,DarkFlow,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"167""",b4,6,B pool,3,Final,14:30 F1,空中,8,13,DarkFlow,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"168""",i3,7,季军赛,1,apool,16:00 F2,视界,8,11,火鸡,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"169""",i3,7,季军赛,2,bpool,14:30 F2,WeFly,11,6,METSUP,BUCL湾区飞盘俱乐部联赛广州站,2023-02-18
"194""",i5,1,第一轮,1,None,F1,乃肥,10,7,Hairens,上海XCS,2022-11-27
"195""",i5,1,第一轮,2,None,F2,多飞,11,9,山坡,上海XCS,2022-11-27
"196""",i5,1,第一轮,3,None,F3,Maxima,10,11,Wings,上海XCS,2022-11-27
"197""",i5,1,第一轮,4,None,F4,黑猫,7,16,超光速Raven,上海XCS,2022-11-27
"198""",i5,2,第二轮,1,None,F1,乃肥,8,10,多飞,上海XCS,2022-11-27
"199""",i5,2,第二轮,2,None,F2,Hairens,19,7,山坡,上海XCS,2022-11-27
"200""",i5,2,第二轮,3,None,F3,Maxima,13,10,黑猫,上海XCS,2022-11-27
"201""",i5,2,第二轮,4,None,F4,Wings,10,11,超光速Raven,上海XCS,2022-11-27
"202""",i5,3,第三轮,1,None,F1,乃肥,20,8,山坡,上海XCS,2022-11-27
"203""",i5,3,第三轮,2,None,F2,Hairens,11,8,多飞,上海XCS,2022-11-27
"204""",i5,3,第三轮,3,None,F3,Maxima,9,11,超光速Raven,上海XCS,2022-11-27
"205""",i5,3,第三轮,4,None,F4,Wings,7,13,黑猫,上海XCS,2022-11-27
"206""",i5,4,第四轮,1,None,F1,超光速Raven,12,10,山坡,上海XCS,2022-11-27
"207""",i5,4,第四轮,2,None,F2,黑猫,9,11,多飞,上海XCS,2022-11-27
"208""",i5,4,第四轮,3,None,F3,Wings,7,17,Hairens,上海XCS,2022-11-27
"209""",i5,4,第四轮,4,None,F4,Maxima,10,22,乃肥,上海XCS,2022-11-27
"210""",b8,5,决赛日,1,Q1,9:00 F1,多飞,14,9,黑猫,上海XCS,2022-11-27
"211""",b8,5,决赛日,2,Q3,9:00 F3,超光速Raven,10,9,山坡,上海XCS,2022-11-27
"212""",b8,5,决赛日,3,Q2,9:00 F2,Hairens,10,3,Maxima,上海XCS,2022-11-27
"213""",b8,5,决赛日,4,Q4,9:00 F4,乃肥,15,8,Wings,上海XCS,2022-11-27
"214""",b8,5,决赛日,5,S1,10:30 F3,超光速Raven,7,4,多飞,上海XCS,2022-11-27
"215""",b8,5,决赛日,6,S2,10:30 F4,Hairens,13,6,乃肥,上海XCS,2022-11-27
"216""",b8,5,决赛日,7,Final,14:10 F1,Hairens,18,11,超光速Raven,上海XCS,2022-11-27
"217""",i9,6,败者组,1,LS1,10:30 F1,黑猫,7,11,山坡,上海XCS,2022-11-27
"218""",i9,6,败者组,2,LS2,10:30 F2,Maxima,8,9,Wings,上海XCS,2022-11-27
"219""",i9,6,败者组,3,G9,12:20 F1,山坡,12,9,Wings,上海XCS,2022-11-27
"220""",i9,6,败者组,4,G10,12:20 F2,乃肥,15,8,黑猫,上海XCS,2022-11-27
"221""",i9,6,败者组,5,G12,14:10 F2,多飞,11,10,Maxima,上海XCS,2022-11-27
"226""",2p4,2,循环赛,1,1,8:00 F1,Nankings,8,11,Fly up,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"227""",2p4,2,循环赛,2,2,8:00 F2,V克特瑞,10,9,锡牛Rhinos,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"228""",2p4,2,循环赛,3,3,9:30 F1,蓝鲸盐水鸭,14,6,333,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"229""",2p4,2,循环赛,4,4,9:30 F2,GS,6,9,Wings,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"230""",2p4,2,循环赛,5,5,11:00 F1,Nankings,7,10,V克特瑞,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"231""",2p4,2,循环赛,6,6,11:00 F2,Fly up,14,9,锡牛Rhinos,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
"232""",2p4,2,循环赛,7,7,13:00 F1,蓝鲸盐水鸭,7,11,GS,333飞盘俱乐部邀请赛—镇江OPEN赛,2023-02-25
